key,value,date
Beijing,990.7,01
Beijing,1066.7,02
Beijing,1188.8,03
Beijing,1499.7,04
Beijing,1795.1,05
Beijing,2081.18,06
Beijing,9504.31,07
Beijing,13487.91,08
Beijing,14986.45,09
Beijing,18002.5,10
Beijing,33663.38,11
Beijing,48073.73,12
Beijing,81818.2,13
Beijing,111011.95,14
Beijing,141447.26,15
Beijing,196029.02,16
Beijing,227452.1,17
Tianjin,254.3,01
Tianjin,287.7,02
Tianjin,321.5,03
Tianjin,352.1,04
Tianjin,410.2,05
Tianjin,489.36,06
Tianjin,2048.2,07
Tianjin,2540.16,08
Tianjin,2598.08,09
Tianjin,3670.1,10
Tianjin,5130.56,11
Tianjin,6364.03,12
Tianjin,8718.97,13
Tianjin,12404.23,14
Tianjin,25624.45,15
Tianjin,41005.35,16
Tianjin,50199.02,17
Hebei,507.2,01
Hebei,488.3,02
Hebei,651,03
Hebei,739.9,04
Hebei,842.9,05
Hebei,1023.45,06
Hebei,2956.53,07
Hebei,3795.46,08
Hebei,4506.8,09
Hebei,4573.7,10
Hebei,8660.43,11
Hebei,12469.11,12
Hebei,20755.74,13
Hebei,34019.15,14
Hebei,54911.94,15
Hebei,90392.39,16
Hebei,119389.3,17
Shanxi,154.8,01
Shanxi,167.7,02
Shanxi,199.9,03
Shanxi,238.4,04
Shanxi,298.6,05
Shanxi,331.12,06
Shanxi,1007.55,07
Shanxi,1261.62,08
Shanxi,1237.41,09
Shanxi,1479.3,10
Shanxi,2098.46,11
Shanxi,2805.32,12
Shanxi,8868.97,13
Shanxi,9130.43,14
Shanxi,11477.3,15
Shanxi,18665.25,16
Shanxi,24359.07,17
Inner Mongolia,129.1,01
Inner Mongolia,147.6,02
Inner Mongolia,191.7,03
Inner Mongolia,218.1,04
Inner Mongolia,246,05
Inner Mongolia,272.08,06
Inner Mongolia,850.81,07
Inner Mongolia,1061.48,08
Inner Mongolia,1196.43,09
Inner Mongolia,1432.1,10
Inner Mongolia,1994.95,11
Inner Mongolia,2439.98,12
Inner Mongolia,2838.98,13
Inner Mongolia,4363.63,14
Inner Mongolia,5410.15,15
Inner Mongolia,8470.64,16
Inner Mongolia,11035.31,17
Liaoning,466.6,01
Liaoning,509.1,02
Liaoning,619.8,03
Liaoning,744.3,04
Liaoning,804.4,05
Liaoning,911.64,06
Liaoning,2832.24,07
Liaoning,3238.91,08
Liaoning,3497.28,09
Liaoning,4585.6,10
Liaoning,6211.54,11
Liaoning,7757.36,12
Liaoning,11411.11,13
Liaoning,16656.4,14
Liaoning,24674.13,15
Liaoning,39825.89,16
Liaoning,51434.46,17
Jilin,218.8,01
Jilin,266.7,02
Jilin,330.1,03
Jilin,322.9,04
Jilin,424.7,05
Jilin,561.34,06
Jilin,1176.37,07
Jilin,1342.58,08
Jilin,1445.76,09
Jilin,1855,10
Jilin,2647.29,11
Jilin,3854.37,12
Jilin,4526.69,13
Jilin,6640.24,14
Jilin,9017.05,15
Jilin,13893.98,16
Jilin,17569.4,17
Heilongjiang,246.2,01
Heilongjiang,288.8,02
Heilongjiang,339.6,03
Heilongjiang,371.5,04
Heilongjiang,408.6,05
Heilongjiang,493.32,06
Heilongjiang,1842.94,07
Heilongjiang,2066.72,08
Heilongjiang,2052.9,09
Heilongjiang,2308.2,10
Heilongjiang,3066.02,11
Heilongjiang,3623.47,12
Heilongjiang,5393.85,13
Heilongjiang,7014.55,14
Heilongjiang,12636.84,15
Heilongjiang,21769.77,16
Heilongjiang,23185.63,17
Shanghai,847.5,01
Shanghai,946.4,02
Shanghai,1148.7,03
Shanghai,1388.4,04
Shanghai,1685.5,05
Shanghai,2112.31,06
Shanghai,24247.01,07
Shanghai,29259.07,08
Shanghai,34178.35,09
Shanghai,24318.9,10
Shanghai,40914.91,11
Shanghai,59905.25,12
Shanghai,95012.45,13
Shanghai,128366.11,14
Shanghai,170777.96,15
Shanghai,260274.43,16
Shanghai,311503.7,17
Jiangsu,1004,01
Jiangsu,1103.4,02
Jiangsu,1302.9,03
Jiangsu,1464,04
Jiangsu,1719.2,05
Jiangsu,2085.28,06
Jiangsu,9430.67,07
Jiangsu,11926.59,08
Jiangsu,17498.18,09
Jiangsu,23796.5,10
Jiangsu,38508.96,11
Jiangsu,63870.5,12
Jiangsu,98415.47,13
Jiangsu,148435.2,14
Jiangsu,229047.65,15
Jiangsu,283823.24,16
Jiangsu,359627.79,17
Zhejiang,823.6,01
Zhejiang,865.5,02
Zhejiang,1014.2,03
Zhejiang,1164.2,04
Zhejiang,1256.2,05
Zhejiang,1439.7,06
Zhejiang,8408.35,07
Zhejiang,9859.9,08
Zhejiang,14764.71,09
Zhejiang,24898.2,10
Zhejiang,49660.84,11
Zhejiang,81986.75,12
Zhejiang,141952.82,13
Zhejiang,245744.79,14
Zhejiang,383145.91,15
Zhejiang,598770.04,16
Zhejiang,793231.11,17
Anhui,401.3,01
Anhui,400.3,02
Anhui,426.3,03
Anhui,432.5,04
Anhui,506.4,05
Anhui,565.9,06
Anhui,1611.57,07
Anhui,1945.94,08
Anhui,2362.41,09
Anhui,3604.2,10
Anhui,6628.32,11
Anhui,9731.35,12
Anhui,13755.5,13
Anhui,23859.08,14
Anhui,39935.56,15
Anhui,68878.26,16
Anhui,86332.31,17
Fujian,743.8,01
Fujian,543,02
Fujian,682.1,03
Fujian,789.4,04
Fujian,898.4,05
Fujian,1040.62,06
Fujian,4490.8,07
Fujian,5577.4,08
Fujian,6960.61,09
Fujian,10069,10
Fujian,15764.86,11
Fujian,25593.84,12
Fujian,44535.75,13
Fujian,65417.31,14
Fujian,88786.2,15
Fujian,128985.77,16
Fujian,166110.69,17
Jiangxi,285.3,01
Jiangxi,313.5,02
Jiangxi,351.9,03
Jiangxi,390.1,04
Jiangxi,516.6,05
Jiangxi,584.54,06
Jiangxi,1475.69,07
Jiangxi,1773.67,08
Jiangxi,2203.31,09
Jiangxi,2350.5,10
Jiangxi,3716.09,11
Jiangxi,5472.6,12
Jiangxi,9751.46,13
Jiangxi,15993.64,14
Jiangxi,23471.76,15
Jiangxi,38304.64,16
Jiangxi,43754.46,17
Shandong,673.4,01
Shandong,754.3,02
Shandong,1089.4,03
Shandong,1259.4,04
Shandong,1447.1,05
Shandong,1578.92,06
Shandong,5233.88,07
Shandong,6166.85,08
Shandong,7254.25,09
Shandong,11783.5,10
Shandong,18438.98,11
Shandong,24731.76,12
Shandong,31375.81,13
Shandong,44684.96,14
Shandong,73424.89,15
Shandong,120533.85,16
Shandong,151474.55,17
Henan,538.8,01
Henan,761,02
Henan,944.9,03
Henan,1104.6,04
Henan,1162.6,05
Henan,1135.56,06
Henan,2939.71,07
Henan,3442.01,08
Henan,4079.91,09
Henan,5765,10
Henan,8377.87,11
Henan,12503.37,12
Henan,19443.87,13
Henan,29484,14
Henan,51449.7,15
Henan,83875.32,16
Henan,107377.62,17
Hubei,490.9,01
Hubei,568,02
Hubei,671.3,03
Hubei,656.5,04
Hubei,685.4,05
Hubei,792.48,06
Hubei,2775.41,07
Hubei,3406.73,08
Hubei,3840.25,09
Hubei,5476.6,10
Hubei,8282.08,11
Hubei,11629.78,12
Hubei,21990.98,13
Hubei,33143.83,14
Hubei,50847.27,15
Hubei,77348.11,16
Hubei,101277.92,17
Hunan,398.6,01
Hunan,437.5,02
Hunan,563.4,03
Hunan,450.3,04
Hunan,562,05
Hunan,695.91,06
Hunan,1963.27,07
Hunan,2225.33,08
Hunan,2738.57,09
Hunan,4227.7,10
Hunan,6342.72,11
Hunan,10022.73,12
Hunan,15446.72,13
Hunan,22716.17,14
Hunan,31786.39,15
Hunan,48603.48,16
Hunan,59181.6,17
Guangdong,1488.4,01
Guangdong,1823.8,02
Guangdong,2180.1,03
Guangdong,2689.4,04
Guangdong,3328.3,05
Guangdong,4150.13,06
Guangdong,22979.9,07
Guangdong,32524.28,08
Guangdong,42206.51,09
Guangdong,59107.5,10
Guangdong,75689.66,11
Guangdong,133770.49,12
Guangdong,210670.28,13
Guangdong,335555.9,14
Guangdong,501335.16,15
Guangdong,767241.56,16
Guangdong,1013468,17
Guangxi,215.2,01
Guangxi,241,02
Guangxi,414.6,03
Guangxi,583.1,04
Guangxi,620.7,05
Guangxi,702.95,06
Guangxi,1380.73,07
Guangxi,1536.96,08
Guangxi,1689.3,09
Guangxi,2277.9,10
Guangxi,3495.69,11
Guangxi,4395.13,12
Guangxi,6745.14,13
Guangxi,9055.41,14
Guangxi,12540.94,15
Guangxi,22835.4,16
Guangxi,31750.29,17
Hainan,62.9,01
Hainan,71.1,02
Hainan,84.2,03
Hainan,95.7,04
Hainan,108.1,05
Hainan,123.47,06
Hainan,371.02,07
Hainan,384.21,08
Hainan,429.45,09
Hainan,681.2,10
Hainan,953.47,11
Hainan,1123.6,12
Hainan,2226.86,13
Hainan,2248.55,14
Hainan,2953.04,15
Hainan,4869.35,16
Hainan,5915.77,17
Chongqing,259.9,01
Chongqing,228.6,02
Chongqing,271.4,03
Chongqing,333.7,04
Chongqing,348.3,05
Chongqing,386.19,06
Chongqing,1401.43,07
Chongqing,1608.43,08
Chongqing,2240.17,09
Chongqing,2829.4,10
Chongqing,4068.25,11
Chongqing,5497.88,12
Chongqing,10614.82,13
Chongqing,13886.31,14
Chongqing,20525.41,15
Chongqing,28382.53,16
Chongqing,32874.9,17
Sichuan,557.7,01
Sichuan,750.9,02
Sichuan,939.2,03
Sichuan,984.9,04
Sichuan,1112.8,05
Sichuan,1286.41,06
Sichuan,3400.84,07
Sichuan,4071.58,08
Sichuan,4527.65,09
Sichuan,5810.6,10
Sichuan,10216.34,11
Sichuan,12814.37,12
Sichuan,24400.88,13
Sichuan,37941.76,14
Sichuan,48796.57,15
Sichuan,80147.84,16
Sichuan,110795.89,17
Guizhou,116,01
Guizhou,155.1,02
Guizhou,253.3,03
Guizhou,326.8,04
Guizhou,394.7,05
Guizhou,424.83,06
Guizhou,848.6,07
Guizhou,917.35,08
Guizhou,929.99,09
Guizhou,1120.9,10
Guizhou,1533.9,11
Guizhou,1800.98,12
Guizhou,2931.23,13
Guizhou,4669.09,14
Guizhou,7034.25,15
Guizhou,11260.13,16
Guizhou,15781.9,17
Yunnan,153.3,01
Yunnan,160.9,02
Yunnan,199.6,03
Yunnan,218,04
Yunnan,261.7,05
Yunnan,550.53,06
Yunnan,1467.61,07
Yunnan,1756.96,08
Yunnan,1849.7,09
Yunnan,2108.5,10
Yunnan,3041.38,11
Yunnan,3774.37,12
Yunnan,6870.32,13
Yunnan,8546.08,14
Yunnan,11109.14,15
Yunnan,17445.8,16
Yunnan,22775.76,17
Tibet,16.5,01
Tibet,19.5,02
Tibet,28,03
Tibet,30.7,04
Tibet,38.3,05
Tibet,41.81,06
Tibet,147.6,07
Tibet,166.25,08
Tibet,184.01,09
Tibet,195.3,10
Tibet,284.32,11
Tibet,320.11,12
Tibet,378.84,13
Tibet,484.26,14
Tibet,578.23,15
Tibet,734.39,16
Tibet,567.51,17
Shaanxi,284.5,01
Shaanxi,298.3,02
Shaanxi,335.3,03
Shaanxi,365.6,04
Shaanxi,396.7,05
Shaanxi,489.47,06
Shaanxi,1644.84,07
Shaanxi,1974.61,08
Shaanxi,2070.01,09
Shaanxi,2582.5,10
Shaanxi,3941.55,11
Shaanxi,5084.96,12
Shaanxi,9552.17,13
Shaanxi,13762.32,14
Shaanxi,20351.03,15
Shaanxi,36901.62,16
Shaanxi,45750.65,17
Gansu,103.5,01
Gansu,127.6,02
Gansu,196,03
Gansu,213.3,04
Gansu,227.1,05
Gansu,233.42,06
Gansu,607.57,07
Gansu,627.81,08
Gansu,696.55,09
Gansu,1012.9,10
Gansu,1135.21,11
Gansu,1470.28,12
Gansu,1788.53,13
Gansu,2655.61,14
Gansu,3541.43,15
Gansu,6065.1,16
Gansu,7201.68,17
Qinghai,31.4,01
Qinghai,38.9,02
Qinghai,47.7,03
Qinghai,48.2,04
Qinghai,48.6,05
Qinghai,54.68,06
Qinghai,144.43,07
Qinghai,165.8,08
Qinghai,181.39,09
Qinghai,162.7,10
Qinghai,244.47,11
Qinghai,286.68,12
Qinghai,417.46,13
Qinghai,579.82,14
Qinghai,716.61,15
Qinghai,1078.56,16
Qinghai,1449.71,17
Ningxia,41.9,01
Ningxia,41.7,02
Ningxia,52.1,03
Ningxia,58.4,04
Ningxia,59.3,05
Ningxia,58.43,06
Ningxia,194.63,07
Ningxia,281.5,08
Ningxia,356.04,09
Ningxia,474.9,10
Ningxia,678.96,11
Ningxia,2967.83,12
Ningxia,972.91,13
Ningxia,1514.07,14
Ningxia,2231.93,15
Ningxia,3241.47,16
Ningxia,3721.47,17
Xinjiang,146.4,01
Xinjiang,163.2,02
Xinjiang,198.8,03
Xinjiang,238.1,04
Xinjiang,265.6,05
Xinjiang,291.03,06
Xinjiang,805.05,07
Xinjiang,935.27,08
Xinjiang,1022.4,09
Xinjiang,1331.1,10
Xinjiang,1919.62,11
Xinjiang,2406.03,12
Xinjiang,5092.13,13
Xinjiang,5940.46,14
Xinjiang,7050.69,15
Xinjiang,8661.91,16
Xinjiang,9042.35,17
